order_id,customer_id,order_date,status,payment_method,product_id,product_name,category,quantity,unit_price,discount,line_value,is_completed,is_return
8707,1236,2022-01-02 09:07:07,completed,debit_card,187,Artist Team Sport,Sports & Outdoors,1,127.57,0.05,121.19,1,0
621,765,2022-01-02 15:15:32,returned,gift_card,26,Agent Laptop,Electronics,1,259.69,0.0,259.69,0,0
621,765,2022-01-02 15:15:32,returned,gift_card,279,Scientist Non-Fiction,Books & Media,1,226.81,0.0,226.81,0,0
1139,1643,2022-01-03 03:39:21,pending,paypal,162,Do Team Sport,Sports & Outdoors,1,126.53,0.1,113.88,0,0
1139,1643,2022-01-03 03:39:21,pending,paypal,174,Social Cycling,Sports & Outdoors,2,864.84,0.0,1729.68,0,0
1824,1697,2022-01-03 19:25:50,returned,gift_card,197,Own Camping,Sports & Outdoors,1,538.79,0.1,484.91,0,0
1824,1697,2022-01-03 19:25:50,returned,gift_card,241,Low Personal Care,Beauty & Health,1,306.12,0.1,275.51,0,0
1824,1697,2022-01-03 19:25:50,returned,gift_card,240,Military Supplement,Beauty & Health,2,555.47,0.2,888.75,0,0
1824,1697,2022-01-03 19:25:50,returned,gift_card,162,Do Team Sport,Sports & Outdoors,1,126.53,0.1,113.88,0,0
7641,1218,2022-01-04 02:06:39,pending,paypal,65,Scene Appliance,Home & Kitchen,1,460.75,0.05,437.71,0,0
7641,1218,2022-01-04 02:06:39,pending,paypal,297,Want Media,Books & Media,2,89.43,0.0,178.86,0,0
7348,551,2022-01-04 06:42:14,returned,gift_card,242,Huge Personal Care,Beauty & Health,1,166.1,0.05,157.79,0,0
7348,551,2022-01-04 06:42:14,returned,gift_card,240,Military Supplement,Beauty & Health,1,555.47,0.05,527.7,0,0
7348,551,2022-01-04 06:42:14,returned,gift_card,121,Themselves Footwear,Apparel,2,183.38,0.15,311.75,0,0
8554,1450,2022-01-04 16:39:51,pending,debit_card,91,Almost Decor,Home & Kitchen,1,369.86,0.0,369.86,0,0
3056,2386,2022-01-04 19:07:10,completed,credit_card,156,Occur Camping,Sports & Outdoors,1,372.8,0.15,316.88,1,0
281,689,2022-01-05 02:16:17,completed,debit_card,83,Rich Furniture,Home & Kitchen,1,243.1,0.0,243.1,1,0
281,689,2022-01-05 02:16:17,completed,debit_card,50,Wear Headphone,Electronics,1,240.1,0.05,228.09,1,0
281,689,2022-01-05 02:16:17,completed,debit_card,92,Left Furniture,Home & Kitchen,1,148.78,0.15,126.46,1,0
