SKU,item_name,dept,list_price_usd,supplier_cost,in_stock_units
90,Group Furniture,Home & Kitchen,220.234977,99.04,393
242,Huge Personal Care,Beauty & Health,166.7208233,79.41,281
230,Fight Supplement,Beauty & Health,853.2213475,362.81,261
213,Star Supplement,Beauty & Health,113.9977771,82.05,359
245,Throughout Personal Care,Beauty & Health,11782.86461,104.23,354
125,Increase Women,Apparel,597.0400166,343.96,276
295,Among Media,Books & Media,144.6639472,92.57,365
118,During Men,Apparel,639.8421866,399.46,82
103,Carry Women,Apparel,479.6784875,260.68,166
298,Wait Media,Books & Media,238.5887046,153.1,281
68,Bar Appliance,Home & Kitchen,139.012892,69.85,229
287,Total Fiction,Books & Media,752.1836547,370.71,336
111,Situation Men,Apparel,227.5777432,142.94,311
254,Them Children,Books & Media,294.0105313,179.03,261
14,Find Headphone,Electronics,90.07089876,61.01,12
201,When Supplement,Beauty & Health,589.8946433,386.16,52
88,Voice Decor,Home & Kitchen,281.3733387,206.76,308
33,Forward Accessorie,Electronics,216.2887005,78.93,298
278,Page Fiction,Books & Media,402.7224978,276.82,176
218,Month Supplement,Beauty & Health,128.2295219,50.54,455
216,Effort Supplement,Beauty & Health,513.4723992,345.22,11
185,Avoid Camping,Sports & Outdoors,588.7853424,268.37,199
86,Less Decor,Home & Kitchen,442.4897787,290.11,263
39,Yeah Laptop,Electronics,415.5124779,256.52,428
72,Difficult Cookware,Home & Kitchen,295.7757315,157.38,142
151,Say Fitnes,Sports & Outdoors,632.8354401,246.9,383
155,Away Camping,Sports & Outdoors,630.5594499,258.46,218
202,Thank Skincare,Beauty & Health,528.8838586,201.68,75
300,Those Non-Fiction,Books & Media,133.2625662,87.08,0
12,Get Smartphone,Electronics,163.4162311,77.9,238
51,Former Cookware,Home & Kitchen,887.9242481,370.52,332
97,Black Appliance,Home & Kitchen,648.7542798,301.4,465
38,Say Camera,Electronics,374.7309455,233.95,94
160,Where Camping,Sports & Outdoors,147.4159253,98.55,356
98,Southern Appliance,Home & Kitchen,72.21614071,53.12,57
21,Right Camera,Electronics,611.6941328,247.11,216
101,Cut Women,Apparel,484.7227078,300.87,411
36,Work Smartphone,Electronics,763.1303291,321.49,393
266,Feeling Non-Fiction,Books & Media,115.1127186,46.6,198
173,Soon Fitnes,Sports & Outdoors,600.8140569,354.03,495
273,Ask Children,Books & Media,553.4804706,289.19,85
279,Scientist Non-Fiction,Books & Media,236.7183543,166.06,209
63,Song Appliance,Home & Kitchen,432.9974634,178.68,130
10,After Laptop,Electronics,306.0290641,235.47,474
116,Ahead Men,Apparel,852.3685931,353.76,314
270,Environmental Non-Fiction,Books & Media,34712.3703,252.13,16
59,Action Furniture,Home & Kitchen,292.1959487,185.42,69
191,Yeah Camping,Sports & Outdoors,476.2062035,215.03,347
206,Office Skincare,Beauty & Health,617.8947184,396.87,394
162,Do Team Sport,Sports & Outdoors,124.84168,53.07,307
85,Event Furniture,Home & Kitchen,528.7643611,214.98,39
229,Thus Skincare,Beauty & Health,691.5817409,325.2,383
248,Generation Haircare,Beauty & Health,77.34200074,55.58,137
142,Card Footwear,Apparel,741.6584388,352.01,126
