cohort_month,0,1,2,3,4,5,6,7,8,9,10,11
2021-02,,,,,,,,,,,,0.0645
2021-03,,,,,,,,,,,0.15,0.025
2021-04,,,,,,,,,,0.0513,0.0256,0.0513
2021-05,,,,,,,,,0.0294,0.0588,,0.0294
2021-06,,,,,,,,0.04,,0.04,,0.12
2021-07,,,,,,,0.0682,0.0455,0.1364,0.0455,0.0455,0.0682
2021-08,,,,,,0.1316,0.0263,0.0789,0.0526,0.0526,0.1053,0.1053
2021-09,,,,,0.0256,0.0769,0.0256,0.1282,0.0513,0.0256,0.1282,0.0769
2021-10,,,,0.0732,0.0488,0.0244,0.0244,0.0976,0.0244,0.0732,0.0732,0.0732
2021-11,,,0.1136,0.0682,0.0455,0.0909,0.0455,0.0227,0.0682,0.0682,0.0227,0.1591
2021-12,,0.075,0.05,0.075,0.1,0.05,0.05,0.05,0.05,0.025,0.025,
2022-01,0.1081,0.027,0.1081,0.0541,0.0541,0.027,0.0811,0.027,0.027,0.0541,0.027,0.027
2022-02,0.0303,0.0606,0.0606,0.1212,0.0303,0.0909,0.0909,0.0606,0.0303,0.0909,0.0606,0.1212
2022-03,0.0222,0.0889,0.0889,0.0444,0.0444,0.0444,0.0667,0.0889,0.0889,0.0889,0.0222,0.0667
2022-04,0.0789,0.0789,0.1053,0.0263,0.0526,0.0526,0.0789,0.0789,0.0789,0.1053,,0.1053
2022-05,,0.087,0.1304,0.0217,0.0217,0.0217,0.0435,0.0652,0.0217,0.0217,0.1087,
2022-06,,0.1034,0.1379,,0.0345,0.0345,0.0345,,0.069,0.1034,0.069,0.0345
2022-07,,0.0857,0.1143,0.2,0.1143,0.0286,0.0571,0.0857,0.0286,0.1143,0.0286,0.0857
2022-08,0.05,0.125,0.1,0.175,0.175,0.1,0.025,0.075,0.125,0.025,0.05,0.05
2022-09,0.0238,0.0238,0.0476,0.119,0.0238,0.0714,0.0476,,0.0714,0.0952,0.0952,0.0952
2022-10,,0.1136,0.0682,0.1136,0.0682,0.0682,0.1136,0.1136,0.1364,,0.0909,0.0227
2022-11,0.0238,0.1429,0.119,0.0952,0.0238,0.0238,0.119,0.0238,0.0714,0.0714,0.0952,0.0952
2022-12,0.0256,0.0256,0.1282,0.1282,0.0513,0.1282,0.0769,0.0769,0.0513,0.1538,,0.0256
2023-01,,0.0811,0.027,0.0541,0.0811,0.0541,0.1622,,0.0541,0.0811,0.1081,0.0811
2023-02,0.0323,0.129,0.129,0.0968,0.0968,0.0968,0.0968,0.0645,0.0968,0.1613,0.0645,0.0968
2023-03,0.025,0.15,0.05,0.075,0.075,0.125,0.15,0.125,0.025,0.075,0.075,0.075
2023-04,0.0811,0.0811,,0.1351,,0.1081,0.0541,0.1351,0.1081,0.027,0.1081,0.0811
2023-05,0.0625,0.0312,0.1562,0.0312,0.1562,0.1562,0.0625,0.0625,0.1875,0.0312,,0.0625
2023-06,0.0465,0.0233,0.0465,0.0698,0.1395,0.1163,0.0465,0.093,0.093,0.093,0.093,0.1628
2023-07,0.0638,0.0851,0.1702,0.1277,0.0426,0.0851,0.2128,0.1489,0.0851,0.0638,0.1064,0.1277
2023-08,0.0882,0.0882,0.1471,0.1471,0.1176,0.0588,0.1176,0.2353,0.0882,0.0882,0.0882,0.0882
2023-09,0.037,0.1111,0.1481,0.1111,,0.0741,0.037,0.1481,0.0741,0.0741,0.2222,0.1852
2023-10,0.027,0.1081,0.0811,0.0541,0.1351,0.2432,0.1622,0.0541,0.0811,0.2432,0.1892,0.1081
2023-11,0.093,0.1395,0.186,0.1628,0.0698,0.1395,0.093,0.2093,0.0698,0.2093,0.093,0.1628
2023-12,0.1081,0.2162,0.1351,0.0541,0.0541,0.2162,0.0811,0.1892,0.1622,0.0541,0.1892,0.0811
2024-01,0.1053,0.1316,0.1316,0.1316,0.1579,0.1053,0.0789,0.1579,0.0526,0.2105,0.2105,0.1842
2024-02,0.1071,0.1429,0.2143,0.1429,0.1071,0.1786,0.0714,0.1429,0.25,0.1786,0.25,
2024-03,0.075,0.2,0.175,0.25,0.125,0.225,0.2,0.175,0.2,0.15,,
2024-04,0.1026,0.2308,0.2308,0.2821,0.3077,0.3077,0.1795,0.2051,0.2564,,,
2024-05,0.1379,0.2069,0.1724,0.2069,0.3103,0.1034,0.2759,0.1724,,,,
2024-06,0.1905,0.2143,0.381,0.381,0.2381,0.1667,0.3095,,,,,
